Enhetsnamn;Årskurs;Kön;Skolform;År;Månad;Total schemalagd tid;Närvarande;Total frånvaro;Giltig frånvaro;Ogiltig frånvaro;Ej registrerad
Asperöskolan F-3;1;Pojke;Grundskola;2026;2;6160;4620;1000;1000;0;540
Asperöskolan F-3;1;Flicka;Grundskola;2026;3;4155;2610;990;990;0;555
Asperöskolan F-3;1;Pojke;Grundskola;2026;3;8310;4930;2270;2270;0;1110
Asperöskolan F-3;1;Pojke;Grundskola;2026;4;840;590;190;190;0;60
Asperöskolan F-3;1;Flicka;Grundskola;2026;4;420;390;0;0;0;30
Asperöskolan F-3;2;Flicka;Grundskola;2025;8;6760;6120;0;0;0;640
Asperöskolan F-3;2;Pojke;Grundskola;2025;8;5070;4590;0;0;0;480
Asperöskolan F-3;2;Flicka;Grundskola;2025;9;19600;16905;295;295;0;2400
Asperöskolan F-3;2;Pojke;Grundskola;2025;9;14700;12230;670;670;0;1800
Asperöskolan F-3;2;Pojke;Grundskola;2025;10;13185;11830;395;395;0;960
Asperöskolan F-3;2;Flicka;Grundskola;2025;10;17580;16140;160;160;0;1280
